=== PROJECT PRICING DEBUG ===
Project,"Banyan's Sliding Door"
Status,"APPROVED"

=== PRICING MODE ===
Name,"Default (Hybrid)"
Extrusion Markup,300%
Hardware Markup,300%
Glass Markup,300%
Packaging Markup,0%
Global Markup,0%
Discount,0%
Extrusion Costing,"HYBRID"

=== OPENING: 001 ===
Finish Color,"Black (Powder Coated)"

--- Component: Fixed End Panel (4") (Panel 957) ---
Dimensions,"37.125" W x 95.625" H"

BOM ITEMS
Part Number,Part Name,Part Type,Stock Length,Cut Length,Quantity,Unit Cost,Finish Cost,Total Cost,Method,Details,Finish Details
"HW-PLG-13MM","13mm Hole Plug","Hardware","","",1,$0.00,$0.00,$0.00,"no_cost_found","No pricing method found",""
"AD-LUG-1.94-FG","Door Lug (1.94)","Hardware","","",2,$0.00,$0.00,$0.00,"no_cost_found","No pricing method found",""
"HW-STD-MCMA604","M5x15mm Press-Fit Stud","Hardware","","",2,$0.00,$0.00,$0.00,"no_cost_found","No pricing method found",""
"HW-PLG-5MM","5mm Hole Plug","Hardware","","",3,$0.00,$0.00,$0.00,"no_cost_found","No pricing method found",""
"RM-PUCK-BRKT","Roller Guide Bracket 12g Steel","Hardware","","",1,$0.00,$0.00,$0.00,"no_cost_found","No pricing method found",""
"DR-ASD-NUT2310","1/4-20 x 3/4 Flat Head Screw","Hardware","","",3,$0.00,$0.00,$0.00,"no_cost_found","No pricing method found",""
"HW-ADR-ALB1600","Soft-Close Roller Kit","Hardware","","",1,$0.00,$0.00,$0.00,"no_cost_found","No pricing method found",""
"48445","2"" Fixed Back Stile","Extrusion","99in","92.63in",1,$35.73,$14.95,$50.68,"extrusion_hybrid_split","Cut 92.63"" from 99"" stock (93.6% used) | Piece price: $35.73 | Used: 93.6% × $35.73 × 1 = $33.43 (gets markup) | Remaining: 6.4% × $35.73 × 1 = $2.30 (no markup) | Material total: $35.73","Black (Powder Coated) (full stock): 1.456' perim × 8.25' = 12.01 sq ft × $1.245/sq ft × 1 = $14.95"
"48447","Glass Stop (Face)","Extrusion","99in","85.25in",2,$3.04,$6.27,$12.35,"extrusion_hybrid_split","Cut 85.25"" from 99"" stock (86.1% used) | Piece price: $3.04 | Used: 86.1% × $3.04 × 2 = $5.24 (gets markup) | Remaining: 13.9% × $3.04 × 2 = $0.84 (no markup) | Material total: $6.08","Black (Powder Coated) (full stock): 0.305' perim × 8.25' = 2.52 sq ft × $1.245/sq ft × 2 = $6.27"
"FOAM-GASKET-ROLL","Foam Gasket","Hardware","","",2,$0.43,$0.00,$0.87,"bom_formula","Formula: height - 9 → 95.625 - 9 = 86.63 × $0.005/IN × 2 qty = $0.87",""
"E-12154","ThinWall Door Stop","Extrusion","123in","96.13in",1,$15.33,$8.40,$23.73,"extrusion_hybrid_split","Cut 96.13"" from 123"" stock (78.2% used) | Piece price: $15.33 | Used: 78.2% × $15.33 × 1 = $11.98 (gets markup) | Remaining: 21.8% × $15.33 × 1 = $3.35 (no markup) | Material total: $15.33","Black (Powder Coated) (full stock): 0.658' perim × 10.25' = 6.74 sq ft × $1.245/sq ft × 1 = $8.40"
"48446","4"" Web Rail Deep","Extrusion","102in","31.38in",1,$15.61,$5.97,$21.58,"extrusion_hybrid_percentage","Cut 31.38"" from 102"" stock (30.8% used, <50%) | Piece price: $50.74 | Calc: 30.8% × $50.74 × 1 qty = $15.61","Black (Powder Coated) (cut length): 1.835' perim × 2.61' = 4.80 sq ft × $1.245/sq ft × 1 = $5.97"
"48347-MF","Sliding Door U-Channel","Extrusion","75in","36.50in",1,$5.62,$0.00,$5.62,"extrusion_hybrid_percentage","Cut 36.50"" from 75"" stock (48.7% used, <50%) | Piece price: $11.54 | Calc: 48.7% × $11.54 × 1 qty = $5.62",""
"48445","2"" Fixed Back Stile","Extrusion","99in","96.13in",1,$35.73,$14.95,$50.68,"extrusion_hybrid_split","Cut 96.13"" from 99"" stock (97.1% used) | Piece price: $35.73 | Used: 97.1% × $35.73 × 1 = $34.69 (gets markup) | Remaining: 2.9% × $35.73 × 1 = $1.04 (no markup) | Material total: $35.73","Black (Powder Coated) (full stock): 1.456' perim × 8.25' = 12.01 sq ft × $1.245/sq ft × 1 = $14.95"
"DR-ASD-TUB1408","Sliding Door Lock Face Plate","Hardware","","",1,$5.93,$0.00,$5.93,"master_part_hardware","Hardware cost: $5.93 × 1",""
"HW-SCR-MCMA572","1/4-20 Zinc 4"" Screw","Fastener","","",2,$0.35,$0.00,$0.70,"master_part_direct","MasterPart direct: $0.35 × 2",""
"FOAM-GASKET-ROLL","Foam Gasket","Hardware","","",2,$0.17,$0.00,$0.34,"bom_formula","Formula: width - 6.125 → 39.875 - 6.125 = 33.75 × $0.005/IN × 2 qty = $0.34",""
"HW-SPR-MCMK221","4.5"" Zinc Spring","Hardware","","",2,$0.00,$0.00,$0.00,"no_cost_found","No pricing method found",""
"door-box","Cardboard Box for Door","Packaging","","",2,$10.00,$0.00,$20.00,"master_part_direct","MasterPart direct: $10 × 2",""
"DR-ASD-TUBP020","3/8-24 Threaded Rod 35-1/16L","CutStock","72in","39.38in",2,$6.00,$0.00,$12.00,"extrusion_hybrid_split","Cut 39.38"" from 72"" stock (54.7% used) | Piece price: $6.00 | Used: 54.7% × $6.00 × 2 = $6.56 (gets markup) | Remaining: 45.3% × $6.00 × 2 = $5.44 (no markup) | Material total: $12.00",""

OPTION ITEMS
Category,Option Name,Part Number,Quantity,Unit Price,Total Price,Method,Details,Is Standard,Is Included
"Slider Handle","72"" Locking Pull Handle","DR-ASD-MORN1829",1,$100.00,$100.00,"","",No,No
"Starter Channel","None","",1,$0.00,$0.00,"","",No,No

GLASS
Glass Type,Width Formula,Height Formula,Calc Width,Calc Height,Qty,Sqft,Price/Sqft,Total Cost
"Clear 1/4" Tempered Glass","width - 6.625","height - 9.875",33.250,85.750,1,19.8,$4.00,$79.20

Component BOM Total,$358.19
Component Options Total,$100.00
Component Glass Total,$79.20

--- Component: Fixed Panel (Panel 958) ---
Dimensions,"18.5" W x 95.625" H"

BOM ITEMS
Part Number,Part Name,Part Type,Stock Length,Cut Length,Quantity,Unit Cost,Finish Cost,Total Cost,Method,Details,Finish Details
"48447","Glass Stop (Face)","Extrusion","99in","86.63in",2,$3.04,$6.27,$12.35,"extrusion_hybrid_split","Cut 86.63"" from 99"" stock (87.5% used) | Piece price: $3.04 | Used: 87.5% × $3.04 × 2 = $5.32 (gets markup) | Remaining: 12.5% × $3.04 × 2 = $0.76 (no markup) | Material total: $6.08","Black (Powder Coated) (full stock): 0.305' perim × 8.25' = 2.52 sq ft × $1.245/sq ft × 2 = $6.27"
"48448","Glass Stop (Gutter)","Extrusion","102in","86.63in",2,$5.81,$11.51,$23.13,"extrusion_hybrid_split","Cut 86.63"" from 102"" stock (84.9% used) | Piece price: $5.81 | Used: 84.9% × $5.81 × 2 = $9.87 (gets markup) | Remaining: 15.1% × $5.81 × 2 = $1.75 (no markup) | Material total: $11.62","Black (Powder Coated) (full stock): 0.544' perim × 8.50' = 4.62 sq ft × $1.245/sq ft × 2 = $11.51"
"48351","Dovetail","Extrusion","99in","95.63in",2,$17.57,$10.83,$45.96,"extrusion_hybrid_split","Cut 95.63"" from 99"" stock (96.6% used) | Piece price: $17.57 | Used: 96.6% × $17.57 × 2 = $33.94 (gets markup) | Remaining: 3.4% × $17.57 × 2 = $1.20 (no markup) | Material total: $35.14","Black (Powder Coated) (full stock): 0.527' perim × 8.25' = 4.35 sq ft × $1.245/sq ft × 2 = $10.83"
"AD-LUG-1.04-FG","Door Lug (1.04)","Hardware","","",2,$0.00,$0.00,$0.00,"no_cost_found","No pricing method found",""
